filename,input_seq,target_seq
00000.png,"10,5,5,3,5","5,5,3,5,11"
00001.png,"10,7,6,7,4","7,6,7,4,11"
00002.png,"10,2,6,5,6","2,6,5,6,11"
00003.png,"10,6,4,1,2","6,4,1,2,11"
00004.png,"10,5,2,0,9","5,2,0,9,11"
00005.png,"10,5,8,5,4","5,8,5,4,11"
00006.png,"10,2,7,4,9","2,7,4,9,11"
00007.png,"10,1,8,8,1","1,8,8,1,11"
00008.png,"10,4,1,6,8","4,1,6,8,11"
00009.png,"10,0,0,6,0","0,0,6,0,11"
00010.png,"10,3,4,6,3","3,4,6,3,11"
00011.png,"10,1,6,7,4","1,6,7,4,11"
00012.png,"10,6,5,9,6","6,5,9,6,11"
00013.png,"10,0,0,7,6","0,0,7,6,11"
00014.png,"10,3,3,3,9","3,3,3,9,11"
00015.png,"10,2,5,7,7","2,5,7,7,11"
00016.png,"10,0,8,9,4","0,8,9,4,11"
00017.png,"10,4,5,8,5","4,5,8,5,11"
00018.png,"10,3,9,0,2","3,9,0,2,11"
00019.png,"10,3,9,9,1","3,9,9,1,11"
00020.png,"10,9,4,1,1","9,4,1,1,11"
00021.png,"10,1,1,8,9","1,1,8,9,11"
00022.png,"10,1,4,1,7","1,4,1,7,11"
00023.png,"10,0,4,0,4","0,4,0,4,11"
00024.png,"10,0,2,9,8","0,2,9,8,11"
00025.png,"10,3,1,1,3","3,1,1,3,11"
00026.png,"10,1,2,2,9","1,2,2,9,11"
00027.png,"10,0,1,8,1","0,1,8,1,11"
00028.png,"10,2,0,7,3","2,0,7,3,11"
00029.png,"10,6,2,7,9","6,2,7,9,11"
00030.png,"10,1,2,2,1","1,2,2,1,11"
00031.png,"10,3,7,4,9","3,7,4,9,11"
00032.png,"10,7,4,2,1","7,4,2,1,11"
00033.png,"10,7,5,7,1","7,5,7,1,11"
00034.png,"10,1,2,6,7","1,2,6,7,11"
00035.png,"10,9,9,7,8","9,9,7,8,11"
00036.png,"10,6,8,4,5","6,8,4,5,11"
00037.png,"10,2,0,1,5","2,0,1,5,11"
00038.png,"10,0,9,3,6","0,9,3,6,11"
00039.png,"10,8,9,6,7","8,9,6,7,11"
00040.png,"10,9,6,4,5","9,6,4,5,11"
00041.png,"10,2,7,7,7","2,7,7,7,11"
00042.png,"10,2,8,4,8","2,8,4,8,11"
00043.png,"10,7,1,5,3","7,1,5,3,11"
00044.png,"10,8,8,7,7","8,8,7,7,11"
00045.png,"10,8,6,2,5","8,6,2,5,11"
00046.png,"10,5,1,0,4","5,1,0,4,11"
00047.png,"10,9,0,0,9","9,0,0,9,11"
00048.png,"10,6,0,6,1","6,0,6,1,11"
00049.png,"10,4,2,6,4","4,2,6,4,11"
00050.png,"10,3,3,9,6","3,3,9,6,11"
00051.png,"10,1,2,0,1","1,2,0,1,11"
00052.png,"10,6,1,6,9","6,1,6,9,11"
00053.png,"10,9,4,4,5","9,4,4,5,11"
00054.png,"10,0,4,6,3","0,4,6,3,11"
00055.png,"10,6,5,2,4","6,5,2,4,11"
00056.png,"10,0,6,5,7","0,6,5,7,11"
00057.png,"10,8,6,2,4","8,6,2,4,11"
00058.png,"10,0,7,2,8","0,7,2,8,11"
00059.png,"10,9,7,1,4","9,7,1,4,11"
00060.png,"10,1,3,7,6","1,3,7,6,11"
00061.png,"10,9,7,9,4","9,7,9,4,11"
00062.png,"10,5,0,1,3","5,0,1,3,11"
00063.png,"10,6,0,0,3","6,0,0,3,11"
00064.png,"10,0,5,5,0","0,5,5,0,11"
00065.png,"10,5,9,3,3","5,9,3,3,11"
00066.png,"10,5,0,2,3","5,0,2,3,11"
00067.png,"10,6,1,4,8","6,1,4,8,11"
00068.png,"10,7,2,3,4","7,2,3,4,11"
00069.png,"10,5,2,8,3","5,2,8,3,11"
00070.png,"10,8,6,1,0","8,6,1,0,11"
00071.png,"10,8,9,8,6","8,9,8,6,11"
00072.png,"10,0,5,6,1","0,5,6,1,11"
00073.png,"10,3,0,6,4","3,0,6,4,11"
00074.png,"10,7,1,8,3","7,1,8,3,11"
00075.png,"10,4,3,7,7","4,3,7,7,11"
00076.png,"10,2,3,5,8","2,3,5,8,11"
00077.png,"10,6,6,2,8","6,6,2,8,11"
00078.png,"10,3,2,1,1","3,2,1,1,11"
00079.png,"10,7,4,1,3","7,4,1,3,11"
00080.png,"10,3,0,7,9","3,0,7,9,11"
00081.png,"10,4,8,7,4","4,8,7,4,11"
00082.png,"10,4,0,6,2","4,0,6,2,11"
00083.png,"10,7,8,6,8","7,8,6,8,11"
00084.png,"10,1,3,8,7","1,3,8,7,11"
00085.png,"10,3,1,1,7","3,1,1,7,11"
00086.png,"10,3,8,5,3","3,8,5,3,11"
00087.png,"10,1,8,1,7","1,8,1,7,11"
00088.png,"10,4,5,1,7","4,5,1,7,11"
00089.png,"10,3,5,3,7","3,5,3,7,11"
00090.png,"10,9,4,9,2","9,4,9,2,11"
00091.png,"10,3,4,5,7","3,4,5,7,11"
00092.png,"10,1,3,4,1","1,3,4,1,11"
00093.png,"10,8,7,1,9","8,7,1,9,11"
00094.png,"10,5,2,5,4","5,2,5,4,11"
00095.png,"10,2,3,6,5","2,3,6,5,11"
00096.png,"10,2,6,1,6","2,6,1,6,11"
00097.png,"10,4,5,2,9","4,5,2,9,11"
00098.png,"10,7,7,3,0","7,7,3,0,11"
00099.png,"10,1,8,8,6","1,8,8,6,11"
00100.png,"10,9,8,4,0","9,8,4,0,11"
00101.png,"10,5,9,2,3","5,9,2,3,11"
00102.png,"10,9,2,8,4","9,2,8,4,11"
00103.png,"10,3,3,3,5","3,3,3,5,11"
00104.png,"10,1,4,8,2","1,4,8,2,11"
